1. Ipswich Town, 16 pts
2. Manchester City, 14 pts
3. Liverpool, 13 pts
4. Everton, 13 pts
5. Sheffield United, 13 pts
6. Newcastle United, 12 pts
7. Middlesbrough, 11 pts
8. Derby County, 11 pts
9. Stoke City, 11 pts
10. Wolverhampton Wanderers, 11 pts
11. Carlisle United, 10 pts
12. West Ham United, 9 pts
13. Burnley, 9 pts
14. Birmingham City, 8 pts
15. Coventry City, 8 pts
16. Leicester City, 7 pts
17. Luton Town, 7 pts
18. Chelsea, 7 pts
19. Leeds United, 6 pts
20. Arsenal, 6 pts
21. Tottenham Hotspur, 6 pts
22. Queens Park Rangers, 6 pts
